,Date,DW
170,2007-03,-1.1606405404569973
171,2007-04,-0.3965880583600167
172,2007-05,-0.3694736289861844
173,2007-06,-0.4731479456216854
174,2007-07,-0.1472350983563558
175,2007-08,-0.3232669853061221
176,2007-09,-1.3521396198849733
177,2007-10,-0.9059481801288466
178,2007-11,-1.0101230754035457
179,2007-12,-1.1730222433125215
180,2008-01,-0.9868046828742535
181,2008-02,-0.45771712541881665
182,2008-03,-0.029741990995716464
183,2008-04,-0.6650805383115823
184,2008-05,0.19539525326579002
185,2008-06,0.2543012968528839
186,2008-07,0.8117327521303545
187,2008-08,1.3480899832491438
188,2008-09,0.5247352772928836
189,2008-10,0.061710027751893666
190,2008-11,0.24352985426664975
191,2008-12,-1.376027092665237
192,2009-01,-1.7148820537116078
193,2009-02,-1.7841418642222284
