"","time","gsi","gsiNorm","gsiInt","gsiDInt"
"228",1991-12-01,0.587806804,0.315681501453657,0.509275614820803,0.226776687378733
"229",1992-01-01,1.546258436,1.47773284021751,0.623521637946761,0.30669242101912
"230",1992-02-01,0.718716635,0.474399937827397,0.548671701915312,0.36155418579691
"231",1992-03-01,0.263936634,-0.0769869985194079,0.47402339822983,0.405308504021099
"232",1992-04-01,-0.348812765,-0.819900084231275,0.338384102762496,0.435954947864747
"233",1992-05-01,0.20054656,-0.15384274991745,0.191640454708677,0.438030863341518
"234",1992-06-01,0.497411789,0.206084267027613,0.155251386700848,0.42077445940037
"235",1992-07-01,0.386163177,0.0712035967944592,0.100434563805366,0.387715075488564
"236",1992-08-01,0.066438855,-0.316438370740387,0.113033148050009,0.367006884805545
"237",1992-09-01,0.323402804,-0.00488868896208347,0.258508855104419,0.361906406459841
"238",1992-10-01,-0.885108229,-1.47011845843733,0.0530219021760614,0.327164356428536
"239",1992-11-01,-0.23503616,-0.681954410452866,-0.0815856348283471,0.273681760949353
"240",1992-12-01,0.116561594,-0.255668276545941,-0.129198116328314,0.220475616686927
"241",1993-01-01,-0.170678468,-0.60392549417642,-0.302669644194474,0.143293009841824
"242",1993-02-01,1.142156693,0.987789523547403,-0.259887178717807,0.0759131031223971
"243",1993-03-01,0.946410058,0.750461283221271,-0.190933155239417,0.0205000569999598
"244",1993-04-01,-0.374438077,-0.850968869678178,-0.193522220693326,-0.023825469954692
"245",1993-05-01,0.717488171,0.472910516569024,-0.141292781819453,-0.0515699063320362
"246",1993-06-01,0.516225589,0.228894600639978,-0.139391920685089,-0.0761235152808643
"247",1993-07-01,0.961009987,0.768162611565722,-0.081312002787484,-0.0912690624969352
"248",1993-08-01,0.914176355,0.711380315049404,0.00433955436166527,-0.100326861970964
"249",1993-09-01,0.48157411,0.186882258840243,0.0203204666785258,-0.120175894339788
"250",1993-10-01,0.764332177,0.529705390788991,0.186972454114053,-0.109013348344956
"251",1993-11-01,-0.011534888,-0.410975736441882,0.209554010281635,-0.0847517112524572
"252",1993-12-01,0.480660933,0.185775099626414,0.246340958295998,-0.0534567883670979
"253",1994-01-01,0.411610456,0.102056530466387,0.305172793682898,-0.00280325187731686
"254",1994-02-01,-0.086538965,-0.501912602925925,0.181030949810121,0.0339399255000105
"255",1994-03-01,-0.05424502,-0.462758595808312,0.0799292932243223,0.0565117962053221
"256",1994-04-01,1.130832583,0.9740598821691,0.232015022544929,0.0919732331418433
"257",1994-05-01,1.19049023,1.04639034335178,0.279805008110158,0.127064715635978
"258",1994-06-01,0.863700193,0.65018172174599,0.314912268202326,0.164923398043262
"259",1994-07-01,0.638940856,0.377677737465096,0.282371862027274,0.195230386777825
"260",1994-08-01,1.326064823,1.21076445680523,0.323987207173593,0.221867691178819
"261",1994-09-01,1.025654557,0.846539346086545,0.378958631110784,0.251754204881508
"262",1994-10-01,0.598046343,0.328096181137018,0.362157863639787,0.266352989008652
"263",1994-11-01,0.533621633,0.249986010518651,0.417238009219831,0.283659988920168
"264",1994-12-01,1.545018537,1.47622955487188,0.524775880490286,0.306862899103026
"265",1995-01-01,0.985936418,0.798384055764959,0.582803174265167,0.329998764151548
"266",1995-02-01,1.567881341,1.50394900477323,0.749958308240097,0.377409377354046
"267",1995-03-01,1.402691558,1.30366867546261,0.897160580846007,0.445511984655853
"268",1995-04-01,1.434730305,1.3425132739803,0.927865030163608,0.503499485290743
"269",1995-05-01,1.658852941,1.61424530564018,0.975186277020975,0.561447924366645
"270",1995-06-01,1.147811323,0.994645341976135,1.00389157870682,0.618862866908686
"271",1995-07-01,0.920028832,0.718476008254853,1.03229143460597,0.681356164623577
"272",1995-08-01,0.65176941,0.393231405331462,0.964163680316486,0.734704204052151
"273",1995-09-01,0.097025677,-0.279354123328274,0.870339224531917,0.775652586837246
"274",1995-10-01,0.665080931,0.409370634774636,0.877112095668386,0.818565439506296
"275",1995-11-01,0.821360621,0.598848138826817,0.906183939694066,0.859310933712482
"276",1995-12-01,0.339208683,0.0142747640897545,0.784354373795556,0.880942474821254
"277",1996-01-01,-0.835244027,-1.40966182113204,0.600350550720806,0.882404756192558
"278",1996-02-01,-0.257072627,-0.708671988183461,0.415965467974415,0.854572019503751
"279",1996-03-01,0.493955798,0.201894134908035,0.3241509229282,0.806821214677267
"280",1996-04-01,0.297293806,-0.0365439077198337,0.209229491119856,0.746934919756954
"281",1996-05-01,-0.605989679,-1.13170797023721,-0.0195999485365934,0.664036067627157
"282",1996-06-01,-0.467637202,-0.96396587898148,-0.182817550283061,0.565143640211333
