"","time","amo","amoNorm","amoInt","amoDInt"
"144",1984-12-15,-0.16,-1.12087244283316,-0.981724164008277,-0.667461313950373
"145",1985-01-15,-0.22,-1.2906805119076,-1.05483597152644,-0.720919409770104
"146",1985-02-15,-0.26,-1.40388589129056,-1.13266466985222,-0.780273619099364
"147",1985-03-15,-0.24,-1.34728320159908,-1.17983357792846,-0.83805553149275
"148",1985-04-15,-0.33,-1.60199530521074,-1.24822849463899,-0.89740974082201
"149",1985-05-15,-0.29,-1.48878992582778,-1.3095480751381,-0.960301618256987
"150",1985-06-15,-0.07,-0.866160339221505,-1.25058694004281,-1.01100819443894
"151",1985-07-15,-0.07,-0.866160339221505,-1.20577647737038,-1.05129830342072
"152",1985-08-15,-0.24,-1.34728320159908,-1.23879471302375,-1.09178494951949
"153",1985-09-15,-0.19,-1.20577647737038,-1.26002072165805,-1.13246813273524
"154",1985-10-15,-0.13,-1.03596840829594,-1.24587004923518,-1.16764827667543
"155",1985-11-15,-0.16,-1.12087244283316,-1.22464404060088,-1.19437732458529
"156",1985-12-15,-0.18,-1.17747513252464,-1.2293609314085,-1.21501372186865
"157",1986-01-15,-0.26,-1.40388589129056,-1.23879471302375,-1.23034361699342
"158",1986-02-15,-0.25,-1.37558454644482,-1.23643626761994,-1.23899125014073
"159",1986-03-15,-0.29,-1.48878992582778,-1.24822849463899,-1.24469082653328
"160",1986-04-15,-0.31,-1.54539261551926,-1.24351160383137,-1.24429775229931
"161",1986-05-15,-0.19,-1.20577647737038,-1.21992714979325,-1.2368293418539
"162",1986-06-15,-0.21,-1.26237916706186,-1.25294538544662,-1.23702587897089
"163",1986-07-15,-0.19,-1.20577647737038,-1.28124673029236,-1.24331506671439
"164",1986-08-15,-0.3,-1.51709127067352,-1.29539740271523,-1.24803195752201
"165",1986-09-15,-0.28,-1.46048858098204,-1.31662341134953,-1.25274884832963
"166",1986-10-15,-0.23,-1.31898185675334,-1.34020786538765,-1.26061033300901
"167",1986-11-15,-0.26,-1.40388589129056,-1.36379231942577,-1.27220602291108
"168",1986-12-15,-0.22,-1.2906805119076,-1.37322610104101,-1.28419478704712
"169",1987-01-15,-0.09,-0.922763028912985,-1.33313252917621,-1.29205627172649
