,time,ao,aoNorm,aoInt,aoDInt
158,15-02-86,-2.9041,-2.869931706,-0.457668189,-0.383139502
159,15-03-86,1.9308,1.891162003,-0.344472937,-0.382211526
160,15-04-86,0.103,0.091263953,-0.389557373,-0.391441362
161,15-05-86,0.3669,0.351135435,-0.32398225,-0.388974055
162,15-06-86,0.5346,0.516275441,-0.2516699,-0.378060596
163,15-07-86,-0.0083,-0.018337017,-0.220379955,-0.361746141
164,15-08-86,-0.8263,-0.823849986,-0.288072258,-0.347878478
165,15-09-86,-0.0234,-0.033206511,-0.299380295,-0.338558374
166,15-10-86,1.4246,1.392689307,-0.267417448,-0.335501594
167,15-11-86,0.9257,0.901405175,-0.091543834,-0.316068128
168,15-12-86,0.0598,0.048723415,0.073185866,-0.266538709
169,15-01-87,-1.1476,-1.140245239,0.025590356,-0.236280685
170,15-02-87,-1.4732,-1.460874851,0.143011761,-0.186224022
171,15-03-87,-1.7465,-1.730002839,-0.158751976,-0.170747276
172,15-04-87,0.387,0.370928603,-0.135446589,-0.149571377
173,15-05-87,0.3252,0.310071999,-0.138868542,-0.134145235
174,15-06-87,-0.7103,-0.709620763,-0.241026559,-0.13325829
175,15-07-87,-0.4663,-0.469345501,-0.278610599,-0.138110843
176,15-08-87,-0.8357,-0.833106492,-0.279381975,-0.137386653
177,15-09-87,0.2865,0.271962767,-0.253951202,-0.133600895
178,15-10-87,-0.08,-0.088942493,-0.377420518,-0.142767818
179,15-11-87,-0.5358,-0.537784561,-0.497352996,-0.176585248
180,15-12-87,-0.5339,-0.535913565,-0.546072745,-0.228190132
181,15-01-88,0.2647,0.250495551,-0.430177679,-0.266170802
182,15-02-88,-1.0662,-1.060087836,-0.396778761,-0.311153345
183,15-03-88,-0.1971,-0.204254925,-0.269633101,-0.320393439
184,15-04-88,-0.5607,-0.562304455,-0.347402523,-0.338056433
185,15-05-88,-0.8461,-0.843347733,-0.443520834,-0.363444124
186,15-06-88,0.0605,0.049412729,-0.380268043,-0.375047581
187,15-07-88,-0.1434,-0.151374672,-0.353770474,-0.381310904
188,15-08-88,0.2546,0.240549731,-0.264299122,-0.380054
189,15-09-88,1.0393,1.013271035,-0.202523433,-0.375768352
190,15-10-88,0.0324,0.021741685,-0.193299751,-0.360424955
191,15-11-88,-0.0347,-0.044334012,-0.152178872,-0.331660445
192,15-12-88,1.6788,1.643008863,0.029397997,-0.28370455
193,15-01-89,3.106,3.0484222,0.262558551,-0.22597653
194,15-02-89,3.2793,3.21907672,0.619155597,-0.141315334
195,15-03-89,1.5303,1.496775763,0.760908155,-0.055436896
196,15-04-89,-0.2502,-0.256544336,0.786388164,0.039045661
197,15-05-89,0.8888,0.865068465,0.928756181,0.153402079
198,15-06-89,0.345,0.329569746,0.952102599,0.264432966
199,15-07-89,0.8656,0.842222621,1.034902373,0.380155703
200,15-08-89,0.5509,0.532326617,1.059217114,0.490448723
201,15-09-89,0.7031,0.682203235,1.031628131,0.593294686
202,15-10-89,0.9907,0.965412929,1.110267401,0.701925283
203,15-11-89,0.0338,0.023120313,1.115888595,0.807597571
204,15-12-89,-0.6437,-0.644037433,0.925301403,0.882256189
205,15-01-90,1.0007,0.975260276,0.75253791,0.923087802
206,15-02-90,3.4016,3.339509772,0.762573997,0.935039335
207,15-03-90,2.99,2.934192977,0.882358765,0.945160219
208,15-04-90,1.8788,1.8399558,1.05706711,0.967716798
209,15-05-90,0.9428,0.918244138,1.061498416,0.978778651
210,15-06-90,0.3043,0.289491044,1.058158524,0.987616645
211,15-07-90,-0.2958,-0.301448238,0.962852619,0.981612499
212,15-08-90,-0.1802,-0.187612909,0.902857659,0.968582544
213,15-09-90,-0.2104,-0.217351896,0.827894731,0.951604761
214,15-10-90,0.6603,0.640056591,0.800781703,0.925814286
215,15-11-90,0.5206,0.502489156,0.840729107,0.902884329
216,15-12-90,1.2767,1.247047048,0.99831948,0.908969168
217,15-01-91,0.7232,0.701996402,0.97554749,0.9275533
218,15-02-91,-0.876,-0.8727913,0.624522401,0.916049
219,15-03-91,-0.5268,-0.528921949,0.335929491,0.870513228
220,15-04-91,0.5302,0.511942609,0.225261725,0.801196112
221,15-05-91,0.4865,0.468909703,0.187817189,0.728389343
222,15-06-91,-0.1154,-0.123802101,0.153376093,0.652990807
223,15-07-91,-0.188,-0.195293839,0.162222293,0.586271613
224,15-08-91,0.7969,0.774571348,0.242404314,0.531233835
225,15-09-91,-0.1122,-0.12065095,0.250462727,0.483114501
226,15-10-91,-0.2519,-0.258218385,0.175606479,0.431016566
227,15-11-91,0.2847,0.270190245,0.156248236,0.373976493
228,15-12-91,1.6132,1.578410268,0.183861838,0.306105023
229,15-01-92,0.55,0.531440356,0.169648834,0.238946802
230,15-02-92,1.1217,1.094413173,0.33358254,0.214701813
231,15-03-92,0.9842,0.959012154,0.457577048,0.22483911
232,15-04-92,-0.5205,-0.52271812,0.371355321,0.237013576
233,15-05-92,1.3414,1.310759382,0.441509461,0.258154599
234,15-06-92,-0.302,-0.307553593,0.426196836,0.28088966
235,15-07-92,0.1911,0.178019079,0.457306246,0.30547999
236,15-08-92,0.5353,0.516964756,0.43583903,0.32159955
237,15-09-92,-0.6403,-0.640689335,0.392502498,0.333436197
238,15-10-92,-0.3659,-0.370478139,0.383147519,0.350731284
239,15-11-92,0.717,0.695891047,0.418622586,0.372595813
240,15-12-92,1.6267,1.591704186,0.419730412,0.392251528
241,15-01-93,3.4953,3.431779411,0.661425333,0.433232903
242,15-02-93,0.1845,0.17151983,0.584517555,0.454144154
243,15-03-93,0.7643,0.742468998,0.566472292,0.463218757
244,15-04-93,-0.4354,-0.438917199,0.573455702,0.480060456
245,15-05-93,-1.6075,-1.593124719,0.33146536,0.470890114
246,15-06-93,-0.5195,-0.521733386,0.313617044,0.461508465
247,15-07-93,-0.5107,-0.513067721,0.256026477,0.444735151
248,15-08-93,-0.393,-0.397164449,0.179849044,0.423402652
249,15-09-93,-0.3606,-0.365259045,0.202801568,0.407594241
250,15-10-93,-0.565,-0.566538814,0.186463178,0.391203879
251,15-11-93,1.0018,0.976343484,0.209834215,0.373804848
252,15-12-93,-0.1041,-0.112674599,0.067802649,0.344477535
253,15-01-94,-0.2879,-0.293668834,-0.242651371,0.269137809
254,15-02-94,-0.8615,-0.858512647,-0.328487411,0.193054062
255,15-03-94,1.881,1.842122216,-0.236849643,0.126110568
256,15-04-94,0.2247,0.211106164,-0.182681029,0.063099174
257,15-05-94,-0.1154,-0.123802101,-0.060237478,0.03045727
258,15-06-94,1.6063,1.571615599,0.114208271,0.013839873
259,15-07-94,0.3507,0.335182734,0.184895809,0.007912317
260,15-08-94,0.8275,0.804704229,0.285051532,0.016679191
261,15-09-94,-0.0841,-0.092979906,0.30774146,0.025424182
262,15-10-94,0.174,0.161180115,0.368384705,0.040584309
263,15-11-94,1.7794,1.742073172,0.432195512,0.059114417
264,15-12-94,0.8938,0.869992139,0.514084407,0.096304564
265,15-01-95,-0.1538,-0.161615913,0.525088817,0.160282913
266,15-02-95,1.4289,1.396923667,0.713041843,0.247077017
267,15-03-95,0.3932,0.377033958,0.590951155,0.316060417
268,15-04-95,-0.9631,-0.95856169,0.493478834,0.372407072
269,15-05-95,-0.8912,-0.887759267,0.429815736,0.41324484
270,15-06-95,-0.1118,-0.120257056,0.288826348,0.427796346
271,15-07-95,-0.2171,-0.223949618,0.242231986,0.432574361
272,15-08-95,0.5436,0.525138054,0.218934805,0.427064634
273,15-09-95,-0.549,-0.550783059,0.180784542,0.416484891
274,15-10-95,0.075,0.063691382,0.172660481,0.400174539
275,15-11-95,-0.7233,-0.722422314,-0.032714143,0.361432067
276,15-12-95,-2.1271,-2.104792859,-0.280612893,0.295207292
277,15-01-96,-1.2004,-1.19223923,-0.366498169,0.220908377
278,15-02-96,0.1632,0.150544981,-0.47036306,0.122291302
279,15-03-96,-1.4832,-1.470722198,-0.62434274,0.021016811
280,15-04-96,-1.5251,-1.511982581,-0.670461147,-0.075978188
281,15-05-96,-0.2264,-0.233107651,-0.615906846,-0.163121736
282,15-06-96,0.4967,0.478953997,-0.565972591,-0.234354981
283,15-07-96,0.7146,0.693527684,-0.489516149,-0.295333993
284,15-08-96,0.1247,0.112632696,-0.523891596,-0.357236193
285,15-09-96,-1.14,-1.132761255,-0.572389779,-0.420000719
286,15-10-96,0.1825,0.16955036,-0.563568197,-0.481353109
287,15-11-96,0.1364,0.124154091,-0.493020164,-0.519711944
288,15-12-96,-1.7208,-1.704695158,-0.459678689,-0.534634094
289,15-01-97,-0.4568,-0.459990521,-0.398657963,-0.537314077
290,15-02-97,1.8887,1.849704673,-0.257061322,-0.519538932
291,15-03-97,1.0908,1.063984871,-0.045835733,-0.471330015
292,15-04-97,0.3236,0.308496424,0.105870851,-0.406635681
293,15-05-97,-0.9611,-0.956592221,0.04558047,-0.351511739
294,15-06-97,-0.815,-0.812722484,-0.062059237,-0.309518959
295,15-07-97,-0.4306,-0.434190473,-0.15603575,-0.281728926
296,15-08-97,0.1206,0.108595284,-0.156372201,-0.251102309
297,15-09-97,0.1945,0.181367176,-0.046861498,-0.207308286
298,15-10-97,-0.6997,-0.699182575,-0.119255909,-0.170282262
299,15-11-97,-0.6611,-0.661171817,-0.184699735,-0.144588893
300,15-12-97,-0.0711,-0.080178355,-0.049323335,-0.110392613
301,15-01-98,-2.0806,-2.059002696,-0.182574349,-0.092385646
302,15-02-98,-0.1832,-0.190567113,-0.352596998,-0.100346952
303,15-03-98,-0.2544,-0.260680222,-0.462985756,-0.135109454
304,15-04-98,-0.0379,-0.047485163,-0.492650888,-0.184986266
305,15-05-98,0.4286,0.411893565,-0.378610406,-0.220335505
306,15-06-98,-0.7107,-0.710014657,-0.37005142,-0.246001521
307,15-07-98,-0.2117,-0.218632051,-0.352088219,-0.262339226
308,15-08-98,0.6503,0.630209244,-0.308620389,-0.275026575
309,15-09-98,-1.0499,-1.044036661,-0.410737375,-0.305349565
310,15-10-98,0.2943,0.279643698,-0.329168519,-0.322842282
311,15-11-98,-1.4494,-1.437438166,-0.393857381,-0.340272086
312,15-12-98,1.3534,1.322576198,-0.276961169,-0.359241906
313,15-01-99,0.1103,0.098452516,-0.097173234,-0.352125146
314,15-02-99,0.4821,0.464576871,-0.042577902,-0.326290221
315,15-03-99,-1.4916,-1.478993969,-0.144104048,-0.299716746
316,15-04-99,0.2844,0.269894824,-0.117655716,-0.268467148
317,15-05-99,0.2259,0.212287845,-0.134289526,-0.248107075
318,15-06-99,0.707,0.6860437,-0.017951329,-0.2187654
319,15-07-99,-0.002,-0.012133188,-0.000743091,-0.18948664
320,15-08-99,-0.6721,-0.672003898,-0.109260852,-0.172873345
321,15-09-99,0.0591,0.048034101,-0.018254956,-0.140166477
322,15-10-99,-0.0058,-0.01587518,-0.042881529,-0.116309228
