"time","pdo","pdo_z","pdo_int","pdo_int_z"
1982-03-01,-0.37,-0.00473330101960366,14.7126032477485,1.13560430666261
1982-04-01,-0.7,-0.295030363170286,14.094844811406,1.08643070644595
1982-05-01,-1.21,-0.743671277403159,13.2125292477605,1.01619834661202
1982-06-01,-0.99,-0.550139902636038,11.9183359183673,0.913180497500245
1982-07-01,0.12,0.426313851870804,10.8715986857993,0.829860165185652
1982-08-01,-0.08,0.250376238446148,10.8449292590951,0.827737277581683
1982-09-01,0.51,0.769392198048883,10.643433445079,0.811698201430129
1982-10-01,0.15,0.452704493884502,10.9693492495829,0.837641114601588
1982-11-01,-0.6,-0.207061556457958,10.9649975247348,0.837294717101619
1982-12-01,0.16,0.461501374555735,10.3010610714129,0.784445344589248
1983-01-01,0.4,0.672626510665322,10.3333515679931,0.787015669616347
1983-02-01,0.97,1.17404870892559,10.5754217633254,0.806284468404617
1983-03-01,1.73,1.84261163993929,11.3088278987791,0.8646636308403
1983-04-01,1.26,1.42915824839134,12.6802383762692,0.973827968525948
1983-05-01,1.01,1.20923623161052,13.5810533589827,1.04553288297665
1983-06-01,1.9,1.99215861135024,14.2244123673023,1.09674428991138
1983-07-01,2.47,2.49358080961051,15.6238871300149,1.20814254600382
1983-08-01,1.18,1.35878320302148,17.4664726425415,1.354812438356
1983-09-01,0.47,0.734204675363952,18.0974861521237,1.40504114301801
1983-10-01,0.68,0.918939169459841,18.0776289044825,1.40346050518376
1983-11-01,1.19,1.36758008369271,18.2433335362556,1.41665060156691
1983-12-01,1.72,1.83381475926805,18.8507747226043,1.46500294820502
1984-01-01,1.42,1.56990833913107,19.8991405350972,1.54845291555725
1984-02-01,1.23,1.40276760637765,20.6399180185992,1.60741883763985
1984-03-01,1.56,1.69306466852833,21.1826890408686,1.65062343621447
1984-04-01,1,1.20043935093929,21.9931416660274,1.71513550280811
1984-05-01,0.87,1.08607990221326,22.2772001142155,1.73774656847331
1984-06-01,-0.13,0.206391835089984,22.4350633450031,1.75031248897392
1984-07-01,-0.35,0.012860460322862,21.7066608740513,1.69233161846492
1984-08-01,0.01,0.329548164487243,20.8150771312887,1.62136151114293
1984-09-01,0.18,0.479095135898201,20.2773304153056,1.57855684758198
1984-10-01,0.43,0.699017152679021,19.9115367838994,1.54943965753749
1984-11-01,0.54,0.795782840062582,19.7809065705826,1.53904148649204
1984-12-01,0.48,0.743001556035185,19.7524849702043,1.53677912578225
1985-01-01,0.87,1.08607990221326,19.6724663191476,1.53040963744271
1985-02-01,0.48,0.743001556035185,19.9388601247297,1.55161459673626
1985-03-01,-0.34,0.0216573409940947,19.8510758422345,1.54462696377364
1985-04-01,-0.52,-0.136686511088096,19.0456050231355,1.48051144917367
1985-05-01,-0.87,-0.444577334581244,18.1153516360834,1.40646323637074
1985-06-01,0.04,0.355938806500941,16.915967983332,1.31099224192186
1985-07-01,0.52,0.778189078720116,16.5670747905275,1.28322032757478
1985-08-01,0.19,0.487892016569433,16.6549690863089,1.2902167176001
1985-09-01,0.13,0.435110732542037,16.4489040576155,1.27381393174807
1985-10-01,0.14,0.443907613213269,16.1986437877569,1.25389320264722
1985-11-01,-0.65,-0.251045959814122,15.9676079098136,1.23550273603547
1985-12-01,0.33,0.611048345966693,15.0512449537573,1.16256020218475
1986-01-01,1.04,1.23562687362422,15.0351580933174,1.16127968734679
1986-02-01,1.47,1.61389274248723,15.6443200463867,1.20976900709576
1986-03-01,1.68,1.79862723658312,16.6063661202745,1.28634791924702
1986-04-01,1.21,1.38517384503518,17.7130614351795,1.37444091769962
1986-05-01,0.85,1.0684861408708,18.3601910537489,1.42595246538531
1986-06-01,0.62,0.866157885432444,18.6636692340468,1.45010934262815
1986-07-01,1.05,1.24442375429545,18.7521742347273,1.45715434479178
1986-08-01,-0.19,0.153610551062587,19.2152573959091,1.49401578592377
1986-09-01,-0.03,0.294360641802312,18.5682322221422,1.4425125520492
