"time","pdo_z"
1955-11-01,-1.92244225353198
1955-12-01,-1.55109812733741
1956-01-01,-1.60291358680642
1956-02-01,-1.62018540662942
1956-03-01,-2.18151955087703
1956-04-01,-1.85335497423997
1956-05-01,-1.05021535247032
1956-06-01,-1.36110810928438
1956-07-01,-0.929312613709294
1956-08-01,-0.514788937957216
1956-09-01,0.106996575670901
1956-10-01,-1.08475899211632
1956-11-01,-1.75835996521345
1956-12-01,-0.74795850556776
1957-01-01,-0.782502145213766
1957-02-01,-1.00703580291281
1957-03-01,-0.367978469461688
1957-04-01,-0.350706649638685
1957-05-01,0.331530233369943
1957-06-01,1.67009626965269
1957-07-01,0.858320737971542
1957-08-01,0.642422990184002
1957-09-01,1.93780947690925
1957-10-01,1.83417855797123
1957-11-01,1.6787321795642
1957-12-01,0.746053909122021
