DATE,MEI
9/1/15,2.24
10/1/15,2.15
11/1/15,1.94
12/1/15,1.93
1/1/16,1.94
2/1/16,1.81
3/1/16,1.32
4/1/16,1.33
5/1/16,1.24
6/1/16,0.36
7/1/16,-0.53
8/1/16,-0.27
9/1/16,-0.29
10/1/16,-0.54
11/1/16,-0.48
12/1/16,-0.37
1/1/17,-0.43
2/1/17,-0.42
3/1/17,-0.58
4/1/17,-0.19
5/1/17,0.19
6/1/17,-0.24
7/1/17,-0.63
8/1/17,-0.73
9/1/17,-0.74
10/1/17,-0.59
11/1/17,-0.62
12/1/17,-0.74
1/1/18,-0.79
2/1/18,-0.71
3/1/18,-0.8
4/1/18,-1.32
5/1/18,-0.94
6/1/18,-0.52
7/1/18,-0.05
8/1/18,0.46
9/1/18,0.62
10/1/18,0.52
11/1/18,0.33
12/1/18,0.18
1/1/19,0.09
2/1/19,0.5
3/1/19,0.76
4/1/19,0.3
5/1/19,0.23
6/1/19,0.35
7/1/19,0.3
8/1/19,0.32
9/1/19,0.16
10/1/19,0.31
11/1/19,0.47
12/1/19,0.36
1/1/20,0.25
2/1/20,0.26
3/1/20,0.13
4/1/20,-0.15
5/1/20,-0.23
6/1/20,-0.68
7/1/20,-0.94
8/1/20,-0.96
9/1/20,-1.15
10/1/20,-1.17
11/1/20,-1.13
12/1/20,-1.14
1/1/21,-1.2
2/1/21,-0.96
3/1/21,-0.79
4/1/21,-0.95
5/1/21,-1.07
6/1/21,-1.05
7/1/21,-1.44
8/1/21,-1.29
9/1/21,-1.38
10/1/21,-1.46
11/1/21,-1.39
12/1/21,-1.2
1/1/22,-1.01
2/1/22,-0.98
3/1/22,-1.31
4/1/22,-1.61
5/1/22,-1.63
6/1/22,-1.9
7/1/22,-2.17
8/1/22,-1.75
9/1/22,-1.73
10/1/22,-1.73
11/1/22,-1.53
12/1/22,-1.28
1/1/23,-1.11
2/1/23,-0.91
3/1/23,-0.76
4/1/23,-0.37
5/1/23,-0.05
6/1/23,0.43
7/1/23,0.5
8/1/23,0.51
9/1/23,0.69
10/1/23,0.48
11/1/23,0.91
12/1/23,1.13
1/1/24,0.71
2/1/24,0.7
