"","time","mei","meiNorm","meiInt","meiDInt"
"71",1984-11-01,-0.58,-0.536014679519469,-0.298273817932554,-0.032825877246831
"72",1984-12-01,-0.28,-0.230096859618221,-0.281862740295044,-0.116573841459901
"73",1985-01-01,-0.25,-0.199505077628096,-0.2606334317868,-0.178987904970777
"74",1985-02-01,-0.58,-0.536014679519469,-0.277300626451415,-0.225512390701998
"75",1985-03-01,-0.6,-0.556409200846219,-0.318062679130984,-0.263234346607395
"76",1985-04-01,-0.76,-0.719565371460218,-0.388035199505366,-0.297681638526579
"77",1985-05-01,-1.23,-1.19883662263884,-0.47803695737446,-0.32807913506667
"78",1985-06-01,-0.67,-0.627790025489844,-0.487009873162651,-0.347763810739433
"79",1985-07-01,-0.1,-0.0465461676774716,-0.448599183003332,-0.35893089971352
"80",1985-08-01,-0.49,-0.444239333549095,-0.464950420701704,-0.371859746477268
"81",1985-09-01,-0.56,-0.515620158192719,-0.49185774510817,-0.389025464226531
"82",1985-10-01,-0.08,-0.0261516463507217,-0.459419070071679,-0.40319356390948
"83",1985-11-01,-0.06,-0.00575712502397183,-0.404130116444046,-0.409194527394795
"84",1985-12-01,-0.42,-0.37285850890547,-0.410389931476136,-0.416478042936533
"85",1986-01-01,-0.4,-0.35246398757872,-0.41573120215199,-0.425153244060934
"86",1986-02-01,-0.34,-0.29128042359847,-0.394961309371202,-0.430074127500843
"87",1986-03-01,-0.4,-0.35246398757872,-0.381158522027868,-0.430868336185609
"88",1986-04-01,-0.53,-0.485028376202594,-0.373831580793432,-0.426873651445021
"89",1986-05-01,-0.26,-0.209702338291471,-0.309209157675334,-0.410820229328052
"90",1986-06-01,0.01,0.0656236996196528,-0.249282512334104,-0.388422201466403
"91",1986-07-01,0.41,0.473514126154651,-0.179610687214007,-0.361637784148278
"92",1986-08-01,0.97,1.04456072330365,-0.0273580332277651,-0.318320121938399
"93",1986-09-01,1.29,1.37087306453165,0.157175380015635,-0.255144924997054
"94",1986-10-01,0.56,0.626473036105275,0.220153728820723,-0.190317000037379
"95",1986-11-01,0.64,0.708051121412275,0.287680642741138,-0.124582473463392
"96",1986-12-01,1.06,1.13633606927402,0.420066501347093,-0.0473746317010035
"97",1987-01-01,1.03,1.1057442872839,0.540562327421897,0.0394179137554624
"98",1987-02-01,1.16,1.23830867590777,0.665869461031718,0.134342327143446
"99",1987-03-01,1.57,1.65639636310614,0.833859554138279,0.241571883292934
"100",1987-04-01,1.74,1.82974979438352,1.0194997441037,0.363321608025336
"101",1987-05-01,1.96,2.05408952897777,1.20432256193103,0.495256420087558
"102",1987-06-01,2.07,2.16625939627489,1.37612718168827,0.635854089636583
"103",1987-07-01,1.88,1.97251144367077,1.49358966282363,0.777732788984382
"104",1987-08-01,1.46,1.54422649580902,1.52447278606662,0.90672917224081
"105",1987-09-01,1.26,1.34028128254152,1.51240641795878,1.01689156741799
"106",1987-10-01,1.18,1.25870319723452,1.53365477077779,1.11963220826883
"107",1987-11-01,0.9,0.973179898660023,1.51705851818705,1.21104649694549
"108",1987-12-01,0.79,0.861010031362899,1.46476476926563,1.28394850011114
"109",1988-01-01,0.63,0.6978538607489,1.39873576710492,1.33863317120118
"110",1988-02-01,0.33,0.391936040847651,1.29447858532704,1.37151385964927
"111",1988-03-01,0.17,0.228779870233652,1.15463550721048,1.37728556302336
"112",1988-04-01,-0.01,0.0452291782929029,0.992194178781049,1.35408861059563
"113",1988-05-01,-0.39,-0.342266726915345,0.782982185071787,1.29838943644402
"114",1988-06-01,-1.17,-1.13765305865859,0.489714907726652,1.20320032511491
"115",1988-07-01,-1.78,-1.75968595912446,0.154239851788607,1.06922098101897
"116",1988-08-01,-1.81,-1.79027774111459,-0.142105400549908,0.907633559965841
"117",1988-09-01,-1.8,-1.78008048045121,-0.409437337620187,0.725622383467579
"118",1988-10-01,-1.59,-1.56593800652034,-0.632848717842358,0.527738650475659
"119",1988-11-01,-1.7,-1.67810787381746,-0.84047057224403,0.318410096395771
"120",1988-12-01,-1.55,-1.52514896386684,-1.01274729000329,0.104637635279812
"121",1989-01-01,-1.12,-1.08666675534172,-1.11702918460561,-0.105308219997357
"122",1989-02-01,-1.1,-1.06627223401497,-1.19604959215267,-0.306636601748941
"123",1989-03-01,-1.24,-1.20903388330222,-1.27730608825243,-0.497210510449495
"124",1989-04-01,-1.09,-1.05607497335159,-1.32665471078135,-0.673745776066151
"125",1989-05-01,-1.03,-0.994891409371342,-1.34463398390105,-0.830558273579172
"126",1989-06-01,-0.99,-0.954102366717842,-1.31242903468595,-0.958687248056091
"127",1989-07-01,-1.08,-1.04587771268822,-1.25747223424457,-1.05457395052773
"128",1989-08-01,-0.66,-0.617592764826469,-1.15575065305619,-1.11713804433322
"129",1989-09-01,-0.53,-0.485028376202594,-1.04531488407884,-1.1488262077788
"130",1989-10-01,-0.49,-0.444239333549095,-0.948608122628037,-1.15531204131591
"131",1989-11-01,-0.36,-0.31167494492522,-0.836033856320551,-1.13712167294351
"132",1989-12-01,-0.07,-0.0159543856873468,-0.705252447721892,-1.09560870701983
"133",1990-01-01,0.13,0.187990827580152,-0.583406884407506,-1.03682879146778
"134",1990-02-01,0.45,0.514303168808151,-0.432729861874761,-0.959899511296953
"135",1990-03-01,0.61,0.67745933942215,-0.264891261187566,-0.864269925139672
"136",1990-04-01,0.17,0.228779870233652,-0.16516339391507,-0.759940014950295
"137",1990-05-01,0.08,0.137004524263277,-0.0848064946871854,-0.65151564691964
"138",1990-06-01,0.05,0.106412742273153,-0.0145865272687837,-0.542978559114872
"139",1990-07-01,0.13,0.187990827580152,0.0659374691756081,-0.434656630054697
"140",1990-08-01,0.02,0.0758209602830277,0.105406689179588,-0.333571664944657
"141",1990-09-01,0.22,0.279766173550527,0.158167676881806,-0.238335336594215
"142",1990-10-01,-0.07,-0.0159543856873468,0.172434937897407,-0.152348034975775
"143",1990-11-01,0.12,0.177793566916777,0.200240540751583,-0.0743042717066285
"144",1990-12-01,0.31,0.371541519520901,0.231615227489015,-0.00452568239032044
"145",1991-01-01,0.19,0.249174391560402,0.236040915139798,0.0550517889886397
"146",1991-02-01,0.08,0.137004524263277,0.209242896017714,0.0998429819303994
"147",1991-03-01,0.2,0.259371652223777,0.188634201685256,0.130217129157989
"148",1991-04-01,0.2,0.259371652223777,0.194316068801312,0.153968579113546
"149",1991-05-01,0.35,0.412330562174401,0.221960106622444,0.174967923845811
"150",1991-06-01,0.97,1.04456072330365,0.320734826324926,0.201956079740131
"151",1991-07-01,0.91,0.983377159323398,0.402468705348539,0.232061577039792
"152",1991-08-01,0.37,0.432725083501151,0.424196251900834,0.260734776184492
"153",1991-09-01,0.54,0.606078514778525,0.452746253586726,0.288071050030895
"154",1991-10-01,0.97,1.04456072330365,0.545498652726693,0.323463252101804
"155",1991-11-01,1.04,1.11594154794727,0.630270233164766,0.364867989674212
"156",1991-12-01,1.23,1.3096895005514,0.721091544362081,0.412351376401858
"157",1992-01-01,1.68,1.76856623040327,0.865360732914169,0.473183036407103
"158",1992-02-01,1.58,1.66659362376952,0.996489891223143,0.546913172806426
"159",1992-03-01,1.71,1.79915801239339,1.12782934595483,0.63215731704844
"160",1992-04-01,1.97,2.06428678964114,1.28168313240163,0.729648762381861
"161",1992-05-01,1.68,1.76856623040327,1.38500249167834,0.83161950575234
"162",1992-06-01,1.51,1.59521279912589,1.42769684130724,0.927209086558182
"163",1992-07-01,0.62,0.687656600085525,1.36953206255632,1.00623517139045
"164",1992-08-01,-0.02,0.035031917629528,1.27214455220655,1.06873235670984
"165",1992-09-01,0.4,0.463316865491276,1.2185798933412,1.1201417027885
"166",1992-10-01,0.67,0.738642903402399,1.1744261270034,1.15845106011554
"167",1992-11-01,0.62,0.687656600085525,1.12298214474181,1.1840976248531
"168",1992-12-01,0.73,0.799826467382649,1.07621976697331,1.19793385508556
"169",1993-01-01,0.79,0.861010031362899,1.01318208050841,1.19582250068118
"170",1993-02-01,0.89,0.962982637996648,0.970843381914336,1.18170133731851
"171",1993-03-01,0.77,0.840615510036149,0.909863381292137,1.15426833207225
"172",1993-04-01,0.98,1.05475798396702,0.861380465524964,1.11427736660038
"173",1993-05-01,1.47,1.5544237564724,0.88821538270421,1.07377295555947
"174",1993-06-01,1.51,1.59521279912589,0.927876622093063,1.03754945858712
"175",1993-07-01,0.9,0.973179898660023,0.946422032018318,1.00872243815538
"176",1993-08-01,0.6,0.667262078758775,0.966236422563214,0.989170469443819
"177",1993-09-01,0.61,0.67745933942215,0.962043504729058,0.973234469434609
"178",1993-10-01,0.96,1.03436346264027,0.982703209297795,0.963003754893152
"179",1993-11-01,0.7,0.769234685392524,0.975291948166195,0.955395169957941
"180",1993-12-01,0.27,0.330752476867402,0.912766056356811,0.943824267833775
"181",1994-01-01,-0.01,0.0452291782929029,0.818156196127714,0.925799856992902
"182",1994-02-01,-0.21,-0.158716034974596,0.700093196275813,0.89786980970978
"183",1994-03-01,-0.23,-0.179110556301346,0.593737674230824,0.863130323295494
"184",1994-04-01,0.01,0.0656236996196528,0.508660517576819,0.823475841504809
"185",1994-05-01,-0.03,0.024834656966153,0.395840029946864,0.771923573224739
"186",1994-06-01,0.25,0.310357955540652,0.318966678948046,0.712354819704787
"187",1994-07-01,0.96,1.03436346264027,0.362500064623986,0.66000935111733
"188",1994-08-01,0.87,0.942588116669898,0.410506122564367,0.614819439142491
"189",1994-09-01,1.1,1.17712511192752,0.48164507562308,0.580349367791184
"190",1994-10-01,1.52,1.60541005978927,0.576782173138522,0.557363023954691
"191",1994-11-01,1.01,1.08534976595715,0.623123202163119,0.54126899387326
"192",1994-12-01,0.91,0.983377159323398,0.679993150676061,0.535988452555475
"193",1995-01-01,0.82,0.891601813353024,0.739456352929909,0.54300096613637
"194",1995-02-01,0.54,0.606078514778525,0.774979075075547,0.560264754016326
"195",1995-03-01,0.17,0.228779870233652,0.76723265802858,0.581573771679182
"196",1995-04-01,0.13,0.187990827580152,0.741614173772418,0.603610255730963
"197",1995-05-01,0.14,0.198188088243527,0.72087737676921,0.628394518654113
"198",1995-06-01,0.01,0.0656236996196528,0.670389728538116,0.650464550886933
